season,team,team_id,gm_played,pts_per_g,opp_pts_per_g,margin,fg_pct,opp_fg_pct,tp_pct,opp_tp_pct,ft_pct,opp_ft_pct,reb_per_g,oreb_per_g,reb_margin,tot_ast,ast_per_g,tot_stl,stl_per_g,tot_blk,blk_per_g
2023,Anderson,AND,28,83.7,74.5,9.2,0.476,0.44,0.362,0.332,0.741,0.719,38.0,11.8,4.8,381,13.61,202,7.21,108,3.86
2023,Transylvania,TRA,26,80.8,72.3,8.5,0.472,0.447,0.356,0.338,0.732,0.725,36.2,10.9,3.6,387,14.88,204,7.85,97,3.73
2023,Hanover,HAN,27,75.9,67.5,8.4,0.468,0.429,0.349,0.327,0.727,0.72,35.9,10.5,3.3,371,13.74,157,5.81,70,2.59
2023,Franklin,FRA,26,75.4,70.6,4.8,0.462,0.44,0.343,0.339,0.714,0.723,34.7,9.7,1.9,345,13.27,188,7.23,63,2.42
2023,Manchester,MAN,26,72.2,69.4,2.8,0.455,0.441,0.339,0.342,0.708,0.727,33.8,9.4,0.8,355,13.65,238,9.15,63,2.42
2023,Rose-Hulman,RHIT,28,71.6,68.9,2.7,0.449,0.433,0.331,0.334,0.716,0.729,33.5,9.1,0.4,374,13.36,158,5.64,57,2.04
2023,Mount St. Joseph,MSJ,25,69.8,70.8,-1.0,0.443,0.444,0.326,0.341,0.709,0.733,33.3,8.8,-0.5,327,13.08,84,3.36,34,1.36
2023,Bluffton,BLU,25,68.0,73.6,-5.6,0.438,0.461,0.316,0.352,0.701,0.736,33.1,8.5,-1.2,260,10.4,156,6.24,42,1.68
2023,Earlham,EAR,25,65.3,76.8,-11.5,0.421,0.472,0.299,0.361,0.695,0.738,32.4,8.1,-3.0,259,10.36,228,9.12,71,2.84
2024,Anderson,AND,27,90.7,72.1,18.7,0.503,0.403,0.34,0.319,0.734,0.711,38.5,12.3,5.6,462,17.11,272,10.07,142,5.26
2024,Transylvania,TRA,26,83.9,75.2,8.7,0.466,0.445,0.344,0.344,0.747,0.735,36.8,11.6,3.2,413,15.88,217,8.35,88,3.38
2024,Hanover,HAN,28,80.3,71.7,8.6,0.453,0.456,0.363,0.328,0.719,0.733,35.7,10.5,2.8,400,14.29,197,7.04,63,2.25
2024,Manchester,MAN,27,78.7,71.9,6.8,0.423,0.431,0.32,0.33,0.716,0.72,34.2,9.8,1.0,366,13.56,184,6.81,80,2.96
2024,Franklin,FRA,26,73.9,72.7,1.2,0.465,0.449,0.366,0.331,0.718,0.726,33.8,9.7,0.5,337,12.96,193,7.42,68,2.62
2024,Rose-Hulman,RHIT,26,69.4,69.5,-0.1,0.422,0.433,0.33,0.336,0.722,0.728,34.0,9.5,0.3,326,12.54,160,6.15,79,3.04
2024,Mount St. Joseph,MSJ,25,65.7,67.2,-1.5,0.458,0.416,0.343,0.343,0.72,0.729,32.9,8.9,-0.7,307,12.28,94,3.76,45,1.8
2024,Bluffton,BLU,25,72.0,81.2,-9.2,0.402,0.454,0.3,0.361,0.705,0.743,33.5,9.0,-1.8,277,11.08,180,7.2,82,3.28
2024,Earlham,EAR,25,66.3,77.3,-11.0,0.426,0.462,0.334,0.344,0.713,0.742,33.2,8.7,-2.5,274,10.96,158,6.32,55,2.2
2025,Anderson,AND,28,83.4,75.7,7.8,0.457,0.428,0.346,0.319,0.75,0.716,37.4,11.0,-0.5,421,15.04,319,11.39,98,3.5
2025,Berea,BER,25,78.2,77.3,0.9,0.443,0.433,0.297,0.339,0.739,0.678,38.1,11.7,-0.4,348,13.92,187,7.48,95,3.8
2025,Manchester,MAN,26,76.3,80.5,-4.2,0.448,0.481,0.363,0.33,0.749,0.701,29.0,6.7,-8.7,362,13.92,163,6.27,48,1.85
2025,Franklin,FRA,30,74.9,68.2,6.7,0.452,0.441,0.352,0.331,0.714,0.671,34.4,10.4,0.4,387,12.9,299,9.97,81,2.7
2025,Hanover,HAN,27,73.3,71.0,2.3,0.46,0.438,0.363,0.328,0.722,0.727,34.1,8.1,-0.7,356,13.19,169,6.26,95,3.52
2025,Transylvania,TRA,26,72.4,72.3,0.0,0.432,0.448,0.323,0.341,0.659,0.744,37.5,12.5,4.5,416,16.0,161,6.19,67,2.58
2025,Bluffton,BLU,25,72.2,82.2,-10.0,0.43,0.472,0.3,0.361,0.673,0.736,35.2,9.9,-2.8,294,11.76,156,6.24,66,2.64
2025,Earlham,EAR,25,71.6,84.9,-13.3,0.417,0.471,0.312,0.344,0.722,0.724,34.5,8.2,-5.7,276,11.04,133,5.32,76,3.04
2025,Rose-Hulman,RHIT,27,71.0,68.7,2.3,0.431,0.446,0.355,0.336,0.695,0.699,35.3,11.1,3.3,394,14.59,212,7.85,89,3.3
2025,Mount St. Joseph,MSJ,26,69.3,71.0,-1.7,0.438,0.425,0.327,0.306,0.708,0.737,34.7,8.0,-1.4,311,11.96,124,4.77,70,2.69
